time,temperature_2m,weather_code,precipitation,rain,snowfall,cloudcover,windspeed_10m,date,weather_code_daily,wind_speed_10m_max,sunrise,sunset,daylight_duration,hour,day_of_week,month,year
2015-04-02 00:00:00,6.2,3.0,0.0,0.0,0.0,99.0,22.6,2015-04-02,61.0,26.6,2015-04-02T07:17,2015-04-02T20:16,46758.04,0,3,4,2015
2015-04-02 01:00:00,6.1,51.0,0.2,0.2,0.0,100.0,22.3,2015-04-02,61.0,26.6,2015-04-02T07:17,2015-04-02T20:16,46758.04,1,3,4,2015
2015-04-02 02:00:00,6.2,51.0,0.4,0.4,0.0,100.0,23.1,2015-04-02,61.0,26.6,2015-04-02T07:17,2015-04-02T20:16,46758.04,2,3,4,2015
2015-04-02 03:00:00,6.1,53.0,0.5,0.5,0.0,100.0,22.4,2015-04-02,61.0,26.6,2015-04-02T07:17,2015-04-02T20:16,46758.04,3,3,4,2015
2015-04-02 04:00:00,6.3,53.0,0.8,0.8,0.0,100.0,19.5,2015-04-02,61.0,26.6,2015-04-02T07:17,2015-04-02T20:16,46758.04,4,3,4,2015
2015-04-02 05:00:00,6.6,61.0,1.3,1.3,0.0,100.0,19.1,2015-04-02,61.0,26.6,2015-04-02T07:17,2015-04-02T20:16,46758.04,5,3,4,2015
2015-04-02 06:00:00,6.8,61.0,1.8,1.8,0.0,100.0,22.7,2015-04-02,61.0,26.6,2015-04-02T07:17,2015-04-02T20:16,46758.04,6,3,4,2015
2015-04-02 07:00:00,6.9,61.0,1.4,1.4,0.0,100.0,26.6,2015-04-02,61.0,26.6,2015-04-02T07:17,2015-04-02T20:16,46758.04,7,3,4,2015
2015-04-02 08:00:00,6.1,53.0,0.6,0.6,0.0,100.0,23.5,2015-04-02,61.0,26.6,2015-04-02T07:17,2015-04-02T20:16,46758.04,8,3,4,2015
2015-04-02 09:00:00,5.5,3.0,0.0,0.0,0.0,94.0,21.2,2015-04-02,61.0,26.6,2015-04-02T07:17,2015-04-02T20:16,46758.04,9,3,4,2015
2015-04-02 10:00:00,6.1,3.0,0.0,0.0,0.0,97.0,24.7,2015-04-02,61.0,26.6,2015-04-02T07:17,2015-04-02T20:16,46758.04,10,3,4,2015
2015-04-02 11:00:00,6.7,3.0,0.0,0.0,0.0,83.0,26.2,2015-04-02,61.0,26.6,2015-04-02T07:17,2015-04-02T20:16,46758.04,11,3,4,2015
2015-04-02 12:00:00,7.3,3.0,0.0,0.0,0.0,90.0,23.7,2015-04-02,61.0,26.6,2015-04-02T07:17,2015-04-02T20:16,46758.04,12,3,4,2015
2015-04-02 13:00:00,7.7,3.0,0.0,0.0,0.0,96.0,22.5,2015-04-02,61.0,26.6,2015-04-02T07:17,2015-04-02T20:16,46758.04,13,3,4,2015
2015-04-02 14:00:00,8.0,3.0,0.0,0.0,0.0,99.0,22.9,2015-04-02,61.0,26.6,2015-04-02T07:17,2015-04-02T20:16,46758.04,14,3,4,2015
2015-04-02 15:00:00,8.3,3.0,0.0,0.0,0.0,99.0,22.8,2015-04-02,61.0,26.6,2015-04-02T07:17,2015-04-02T20:16,46758.04,15,3,4,2015
2015-04-02 16:00:00,8.1,3.0,0.0,0.0,0.0,99.0,22.3,2015-04-02,61.0,26.6,2015-04-02T07:17,2015-04-02T20:16,46758.04,16,3,4,2015
2015-04-02 17:00:00,7.8,3.0,0.0,0.0,0.0,96.0,21.2,2015-04-02,61.0,26.6,2015-04-02T07:17,2015-04-02T20:16,46758.04,17,3,4,2015
2015-04-02 18:00:00,7.4,3.0,0.0,0.0,0.0,100.0,19.1,2015-04-02,61.0,26.6,2015-04-02T07:17,2015-04-02T20:16,46758.04,18,3,4,2015
2015-04-02 19:00:00,6.9,3.0,0.0,0.0,0.0,99.0,16.1,2015-04-02,61.0,26.6,2015-04-02T07:17,2015-04-02T20:16,46758.04,19,3,4,2015
2015-04-02 20:00:00,6.0,3.0,0.0,0.0,0.0,95.0,10.7,2015-04-02,61.0,26.6,2015-04-02T07:17,2015-04-02T20:16,46758.04,20,3,4,2015
2015-04-02 21:00:00,5.1,3.0,0.0,0.0,0.0,96.0,6.6,2015-04-02,61.0,26.6,2015-04-02T07:17,2015-04-02T20:16,46758.04,21,3,4,2015
2015-04-02 22:00:00,4.3,3.0,0.0,0.0,0.0,92.0,8.2,2015-04-02,61.0,26.6,2015-04-02T07:17,2015-04-02T20:16,46758.04,22,3,4,2015
2015-04-02 23:00:00,3.2,0.0,0.0,0.0,0.0,8.0,8.7,2015-04-02,61.0,26.6,2015-04-02T07:17,2015-04-02T20:16,46758.04,23,3,4,2015
2015-04-03 00:00:00,1.8,2.0,0.0,0.0,0.0,71.0,6.9,2015-04-03,51.0,11.8,2015-04-03T07:14,2015-04-03T20:18,46991.96,0,4,4,2015
